combined_fips,total_votes_2016,Clinton,FIPS,total_votes_2012,county_fips,state_fips,fips_x,population2014,population2010,population_change,population_2010,kids_percent_2014,teenagers_percent_2014,age65plus,female,Black,native,asian,hawaii,biracial,Hispanic,stable_house,foreign_born,NonEnglish,Edu_highschool,Edu_batchelors,veteran,commute,housing_units,homeownership,housing_units_multi,house_value,house_number,house_persons,Income,house_income,Poverty,private_establishments,private_employment,employment_change,nonemployer_establishments,firms_owned,firms_owned_black,firms_owned_native,firms_owned_asian,firms_owned_hawaii,firms_owned_hispanic,firms_owned_female,manufacturers_shipments,merchant_sales,retail_sales,retail_sales_per_capita,hotel_food_sales,building_permits,land_area,Density,Trump_Romney,fips_y,lat,lng
42023,2024,0.0,42023,1967,42023,42,42023,4805,5085,-5.5,5085,4.6,17.5,23.8,50.5,0.004,0.4,0.4,0.0,1.0,0.006999999999999999,91.4,1.0,1.2,86.4,14.2,612,15.2,4400,71.5,9.6,69500,2144,2.29,22747,41410,13.1,113,1579,-4.8,242,513,0.0,0.0,0.0,0.0,0.0,0.0,213836,0,29606,5534,2764,0,396.23,12.8,0.096033414983593,42023,26.1284971,-97.5247243
42025,28721,0.0,42025,24232,42025,42,42025,64441,65250,-1.2,65249,4.6,19.7,19.7,50.5,0.019,0.3,0.5,0.1,1.1,0.040999999999999995,91.2,2.9,4.8,87.4,15.1,6219,30.5,34398,78.9,8.2,146700,25903,2.48,24861,48900,11.6,1134,13291,-3.3,3280,5149,2.0,0.0,0.0,0.0,0.0,28.1,514283,35793,483916,7661,104719,70,381.46,171.1,0.127065943411201,42025,40.901975,-75.66735600000001
42027,75394,0.0,42027,68801,42027,42,42027,158742,153981,3.1,153990,4.1,15.4,12.4,47.6,0.038,0.2,5.6,0.1,1.6,0.028999999999999998,72.4,7.0,9.6,92.7,40.4,9420,19.9,65107,59.6,29.5,192600,57197,2.4,25545,50336,20.5,3252,44783,0.8,9288,11078,0.8,0.0,2.0,0.0,0.9,25.5,1216463,572296,1604290,11134,240050,511,1109.92,138.7,-0.0242338334388696,42027,40.8765649,-77.8367282
42029,266637,1.0,42029,248295,42029,42,42029,512784,499146,2.7,498886,5.7,23.5,14.5,50.8,0.064,0.3,4.8,0.1,1.7,0.071,89.8,9.0,11.8,92.8,48.5,31143,27.4,195644,75.7,17.6,325200,184788,2.64,42210,86050,6.9,13950,239228,4.5,39966,49835,2.3,0.0,2.8,0.0,1.4,26.5,6753001,8571403,11338422,23255,783220,1459,750.51,664.7,-0.0630254473630526,42029,40.001020399999994,-75.80690820000001
42031,17481,0.0,42031,15227,42031,42,42031,38821,39989,-2.9,39988,5.0,18.9,18.0,51.2,0.011000000000000001,0.2,0.7,0.0,0.9,0.006999999999999999,84.3,1.0,3.3,87.9,18.5,3011,22.8,19879,70.9,14.0,106200,15776,2.4,21902,42389,18.3,937,10918,0.5,2443,3460,0.0,0.0,0.0,0.0,0.0,0.0,586557,287384,421097,10563,51159,422,600.83,66.6,0.0459347081151298,42031,41.1982095,-79.4703885
42033,32692,0.0,42033,31894,42033,42,42033,81191,81644,-0.6,81642,4.7,18.6,18.9,47.7,0.03,0.2,0.7,0.0,0.8,0.028999999999999998,89.0,2.0,4.0,87.0,13.5,7849,25.1,38565,76.8,10.8,85100,32192,2.38,21273,41030,14.5,2004,26252,-2.0,4181,5353,0.0,0.0,0.0,0.0,0.0,26.1,0,0,1150136,13875,88010,126,1144.72,71.3,0.0947635881769778,42033,40.9519685,-78.5660852
42035,14839,0.0,42035,12663,42035,42,42035,39745,39241,1.3,39238,5.5,20.3,17.2,51.0,0.018000000000000002,0.1,0.6,0.1,0.9,0.013999999999999999,83.7,1.5,5.5,86.2,17.0,3329,23.3,18993,71.7,16.9,110900,15067,2.45,21875,42184,16.1,759,10950,-2.3,1859,2479,0.0,0.0,0.0,0.0,0.0,24.6,1214979,0,520692,14025,43233,38,887.98,44.2,0.105617898609944,42035,42.9663458,-84.5222189
42037,27127,0.0,42037,24305,42037,42,42037,67122,67296,-0.3,67295,4.6,18.0,17.2,51.7,0.021,0.2,1.2,0.0,1.0,0.026000000000000002,87.3,2.4,3.5,88.0,20.7,5124,21.1,29595,69.6,17.0,135000,26225,2.4,23681,44807,16.6,1373,22851,-0.5,3181,4929,0.0,0.0,0.0,0.0,0.0,25.1,0,109948,826209,12752,90614,79,483.11,139.3,0.0877697744940867,42037,33.509851399999995,-82.25832969999998
42039,35563,0.0,42039,33089,42039,42,42039,87175,88765,-1.8,88765,5.5,21.4,18.3,51.1,0.019,0.2,0.6,0.0,1.2,0.012,88.0,1.1,6.1,86.8,18.7,7843,22.4,44373,73.7,12.8,102700,34831,2.43,21741,42504,15.9,2031,27581,1.6,5380,6868,0.0,0.0,0.0,0.0,0.0,21.5,1632637,146718,877346,9859,90060,73,1012.3,87.7,0.0831551706253838,42039,41.6661391,-80.27673270000001
42041,115068,0.0,42041,109964,42041,42,42041,243762,235408,3.5,235406,5.3,20.3,17.0,50.6,0.038,0.2,3.8,0.0,1.9,0.034,84.8,5.3,7.8,91.1,32.5,20999,21.2,102907,71.1,19.4,184500,95286,2.35,31791,60826,8.3,5733,114225,-1.1,14747,19279,1.5,0.0,2.4,0.0,0.0,22.5,3472636,3657759,3684912,16179,402745,879,545.46,431.6,-0.0148044089735353,42041,40.1299841,-77.2405153
42043,130160,0.0,42043,122625,42043,42,42043,271453,268100,1.3,268100,6.2,22.5,15.3,51.6,0.187,0.4,3.7,0.1,3.0,0.083,85.1,6.0,10.5,89.0,28.5,20825,21.3,121802,64.4,24.3,158800,108831,2.41,29234,54066,13.3,6728,142209,-0.2,15201,19512,7.9,0.4,3.9,0.0,0.0,24.3,0,6456618,3869515,15064,676791,651,525.05,510.6,0.00222377727529893,42043,40.2734277,-76.7336521
42045,284832,1.0,42045,272853,42045,42,42045,562960,558726,0.8,558979,6.0,22.4,15.0,52.0,0.212,0.2,5.4,0.0,2.0,0.035,90.0,9.3,11.6,91.8,35.0,34153,27.7,221921,70.6,24.7,234100,204771,2.62,33179,64041,10.3,12628,210571,2.0,38838,47789,8.4,0.0,5.5,0.0,0.0,28.4,19060350,4219965,6358447,11456,779477,435,183.84,3040.5,-0.0117003834972388,42045,39.907793,-75.38785250000001
42047,13854,0.0,42047,12425,42047,42,42047,31194,31946,-2.4,31946,4.9,19.8,20.5,49.9,0.005,0.2,0.4,0.0,0.7,0.008,93.2,1.0,1.9,90.5,14.9,2887,16.8,17521,80.3,11.1,92100,13478,2.33,23738,45767,10.4,881,13828,-11.0,1606,2598,0.0,0.0,0.0,0.0,0.0,0.0,1616512,69874,291195,8922,24081,55,827.36,38.6,0.12909943564955498,42047,41.4284924,-78.5660852
